,Name,City,Address,Country,Telefone,Fax,Email,Latitude,Longitude,X,Y
0,PTV Headquarter Germany,Karlsruhe,Haid-und-Neu-Straße 15,Germany,+49 721 9651-0,+49 721 9651-699,info@ptvgroup.com,49.01334,8.427800000000001,938178.4045075525,6277125.216101138
1,"PTV Austria, Vienna",Vienna,Siegelgasse 1/2/1 15 ,Austria,+43 (0) 1 710 2147 ,+43 (0) 1 710 2147 ,info.at@ptvgroup.com,48.2050867,16.3877432,1824275.2282749317,6141042.025760664
2,"PTV Benelux, Utrecht",Utrecht,Energieweg 1 ,Netherlands,+31 (0) 346 581 600 ,+31 (0) 346 581 616,info.nl@ptvgroup.com,52.1246513,5.043253,561412.3559016498,6822695.46488728
3,"PTV Benelux, Ieper",Ypres,Albert Dehemlaam 31 ,Belgium,+32 (0) 57 224 522 ,+32 (0) 57 224 536 ,info.be@ptvgroup.com,50.8670375,2.8876555,321452.33984639606,6597807.811138984
4,"PTV Benelux, Mechelen",Mechelen,De Regenboog 11 ,Belgium,+32 (0) 57 224 522 ,+32 (0) 57 224 536 ,info.be@ptvgroup.com,51.0066408,4.4628466,496801.81100049184,6622468.487448069
5,"PTV Nordics, Göteborg",Gothenburg,Gullbergs Strandgata 36D ,Sweden,+46 31 687280 ,,info-se@routeoptimiser.com,57.7188307,11.9874373,1334435.4161522945,7908483.131814899
6,"PTV Loxane France Logistics, Paris-Cergy","Cergy-Pontoise, Paris",10-12 boulevard de l'Oise ,France,+33 (0) 1 30 75 75 75,+33 (0) 1 30 75 75 76,info.fr@ptvgroup.com,49.0359102,2.0822361,231793.4623633727,6280956.801655616
7,"PTV France Traffic, Straßbourg",Strasbourg,"14, Rue du Général Gouraud",France,+33 3 90221260,+33 3 88357293,contact.fr@ptvgroup.com,48.587748,7.7572091,863528.5669889486,6205198.163060933
8,"PTV France Traffic, Lyon",Lyon,47 rue Maurice Flandin,France,+33 4 72121466,,contact.fr@ptvgroup.com,45.7578294,4.8629028,541335.8634731855,5741625.778335779
9,"PTV Italia Logistics, Perugia",Perugia,via Settevalli 133c,Italy,+39 075 500 17 22,,info.it@ptvgroup.com,43.0952157,12.3693429,1376948.953075393,5326475.895267268
10,"PTV Sistema, Rom",Roma,Via R. Bonghi 11/b,Italy,+39 06 99344415,,info.it@ptvgroup.com,41.8900502,12.5011695,1391623.8230604015,5144523.699686472
11,"PTV UK, Birmingham",Halesowen ,"4-5 Centre Court, Vine Lane ",United Kingdom,+44 121 585 6633 ,,sales.uk.logistics@ptvgroup.com,52.4482616,-2.0459783,-227757.26253008674,6881586.284429609
12,"PTV UK, London",London,8 Doncannon Street,United Kingdom,,,info@ptvgroup.com,51.5084349,-0.1266827,-14102.253656318402,6711727.570929194
13,"PTV CEE Sp. z o. o., Warszawa",Warsaw,Aleje Jerozolimskie 142A ,Poland,+48 697 902 158 ,,info.pl@ptvgroup.com,52.218995,20.966843,2334018.286302513,6839819.831071421
14,"PTV North America, Portland","Portland, OR",9755 SW Barnes Road ,USA,+1 (503) 297-2556 ,+1 (503) 297-2230 ,info.us@ptvgroup.com,45.511817,-122.777965,-13667580.544434363,5702459.7235654835
15,"PTV North America, Arlington","Arlington, VA",1530 Wilson Boulevard ,USA,+1 (571) 645-5800 ,+1 (503) 297-2230 ,info.us@ptvgroup.com,38.8942815,-77.0751683,-8579968.48796186,4706539.597968547
16,"PTV América Latina, México City",Mexico City,Av. Revolución 1877,Mexico,+52 55 6385 0900 ,,info.al@ptvgroup.com,19.3401409,-99.19189539999999,-11041991.286747653,2195023.2156554125
17,"PTV Brasil, São Paulo",São Paulo,"Av. Angélica, 2503",Brasil,,,info@ptvgroup.com,-23.5539673,-46.6621038,-5194401.634358875,-2699150.509586599
18,"PTV Asia Pacific, Sydney ",Sydney,61-89 Buckingham Street ,Australia,+61 2 9698 1292,,info@ptvgroup.com,-33.8890708,151.206943,16832279.89916754,-4013916.6528285295
19,"PTV Asia Pacific, Singapur",Singapore,7 Temasek Boulevard ,Singapore,+65 6323 2746 ,+65 6884 3511,info@ptvgroup.com,1.2954194,103.8584778,11561472.863260506,144217.71541120106
20,"PTV Asia Pacific, Hong Kong ","Wan Chai, Hong Kong",160 Gloucester Road ,Hong Kong,+852 9154 6007,,info@ptvgroup.com,22.279645,114.1778873,12710224.274087775,2545133.236500539
21,"PTV China, Shanghai",Shanghai,"East Nanjing Road, No.800 ",China,+86-21-63288206 ,+86-21-63288236 ,sales.cn@ptvgroup.com,31.239921,121.48533,13523685.074452804,3663946.8074628413
22,PTV Japan,Tokyo,AD-O Shibuya Dogenzaka 11F ,Japan,+81-3-6416-5885 ,,sales.jp@ptvgroup.com,35.6593968,139.6964402,15550936.588696994,4253855.541026517
23,"PTV Middle East, Dubai",Dubai,"Fortune Tower, Plot No. C1 ",UAE,+971 567 00 00 95 ,+971 4 454 1034 ,info.me@ptvgroup.com,25.0690597,55.138396,6137978.165877872,2884229.439171727
24,"PTV Africa, Johannesburg",Johannesburg ,27 Owl Street ,South Africa,+27 (0) 11-482-6412 ,,sales.africa@ptvgroup.com,-26.18377,28.01965,3119133.170205748,-3021859.505310397
